Frame,Timestamp(s),English Classes,Chinese Classes,Max Confidence,Image Path
780,0.00,human_porn,真人色情,0.8862,nsfw_detections\nsfw_000780.jpg
800,0.00,human_porn,真人色情,0.7695,nsfw_detections\nsfw_000800.jpg
810,0.00,human_porn,真人色情,0.9268,nsfw_detections\nsfw_000810.jpg
830,0.00,human_porn,真人色情,0.8579,nsfw_detections\nsfw_000830.jpg
840,0.00,human_porn,真人色情,0.7612,nsfw_detections\nsfw_000840.jpg
850,0.00,human_porn,真人色情,0.8423,nsfw_detections\nsfw_000850.jpg
860,0.00,human_porn,真人色情,0.9585,nsfw_detections\nsfw_000860.jpg
870,0.00,human_porn,真人色情,0.8906,nsfw_detections\nsfw_000870.jpg
880,0.00,human_porn,真人色情,0.8843,nsfw_detections\nsfw_000880.jpg
890,0.00,human_porn,真人色情,0.8608,nsfw_detections\nsfw_000890.jpg
900,0.00,human_porn,真人色情,0.7251,nsfw_detections\nsfw_000900.jpg
930,0.00,human_porn,真人色情,0.8174,nsfw_detections\nsfw_000930.jpg
