Frame,Timestamp(s),Text Count,Text Content
10,0.33,1,何以结愁悲
20,0.67,1,何以结愁悲
30,1.00,1,何以结愁悲
40,1.33,1,何以结愁悲
50,1.67,1,何以结愁悲
60,2.00,1,何以结愁悲
70,2.33,1,何以结愁悲
80,2.67,1,何以结愁悲
90,3.00,1,何以结愁悲
100,3.33,1,何以结愁悲
110,3.67,1,何以结愁悲
120,4.00,1,何以结愁悲
130,4.33,1,何以结愁悲
140,4.67,1,何以结愁悲
150,5.00,1,何以结愁悲
160,5.33,1,何以结愁悲
170,5.67,1,何以结愁悲
180,6.00,1,何以结愁悲
190,6.33,1,何以结愁悲
200,6.67,1,何以结愁悲
210,7.00,1,何以结愁悲
220,7.33,1,何以结愁悲
230,7.67,1,何以结愁悲
240,8.00,1,何以结愁悲
250,8.33,1,何以结愁悲
260,8.67,1,何以结愁悲
270,9.00,1,何以结愁悲
610,20.33,1,何以结愁悲
620,20.67,1,何以结愁悲
630,21.00,1,何以结愁悲
640,21.33,1,何以结愁悲
650,21.67,1,何以结愁悲
660,22.00,1,何以结愁悲
670,22.33,1,何以结愁悲
680,22.67,1,何以结愁悲
690,23.00,1,何以结愁悲
700,23.33,1,何以结愁悲
710,23.67,1,何以结愁悲
720,24.00,1,何以结愁悲
730,24.33,1,何以结愁悲
740,24.67,1,何以结愁悲
750,25.00,1,何以结愁悲
760,25.33,1,何以结愁悲
770,25.67,1,何以结愁悲
